page,lang,utility,category,word_count,title,meta_description,h1,canonical,schema_types,has_restaurant_schema,has_faq_schema,has_opening_hours,has_cta,in_sitemap,language_leak_count,language_leaks,broken_anchor_count,html_kb,inline_style_count,score
404.html,pt-BR,True,generic,42,Página não encontrada — Embaixada Carioca,"A página que você procura não foi encontrada. Explore o cardápio, faça uma reserva ou conheça a Embaixada Carioca no Morro da Urca.",Esta página se perdeu no bondinho,https://www.embaixadacarioca.com/404.html,"AggregateRating,BreadcrumbList,GeoCoordinates,ListItem,LocationFeatureSpecification,OpeningHoursSpecification,PostalAddress,ReserveAction,Restaurant,WebSite",True,False,True,True,True,0,,0,61.0,0,100
almoco-morro-da-urca.html,pt-BR,False,park,611,Onde Almoçar no Morro da Urca e Pão de Açúcar | Embaixada Carioca,Procurando onde almoçar no Morro da Urca? A Embaixada Carioca oferece a melhor gastronomia brasileira com vista panorâmica no Pão de Açúcar.,Onde Almoçar no Morro da Urca,https://www.embaixadacarioca.com/almoco-morro-da-urca.html,"AggregateRating,BreadcrumbList,GeoCoordinates,ListItem,LocationFeatureSpecification,OpeningHoursSpecification,PostalAddress,ReserveAction,Restaurant,WebPage,WebSite",True,False,True,True,True,0,,0,70.0,52,84
almoco.html,pt-BR,False,menu,1152,Almoço no Morro da Urca | Restaurante Pão de Açúcar,"Almoço brasileiro no Morro da Urca, dentro do Parque Bondinho Pão de Açúcar. Feijoada, picanha, caipirinhas e vista no Rio.",Almoço premiado no Pão de Açúcar — Restaurante Morro da Urca .,https://www.embaixadacarioca.com/almoco.html,"AggregateRating,BreadcrumbList,GeoCoordinates,ListItem,LocationFeatureSpecification,Menu,MenuItem,MenuSection,Offer,OpeningHoursSpecification,PostalAddress,ReserveAction,Restaurant,SpeakableSpecification,WebPage,WebSite",True,False,True,True,True,0,,0,182.2,90,100
cafe-da-manha-com-vista-rio-de-janeiro.html,pt-BR,False,breakfast,475,Café da Manhã com Vista no Rio de Janeiro | Embaixada Carioca,"Café da manhã com vista no Rio de Janeiro, no Morro da Urca dentro do Parque Bondinho Pão de Açúcar. Aberto todos os dias a partir de 8h30.",Café da manhã com vista no Rio de Janeiro,https://www.embaixadacarioca.com/cafe-da-manha-com-vista-rio-de-janeiro.html,"Answer,FAQPage,PostalAddress,Question,Restaurant,WebPage",True,True,False,True,True,0,,0,19.6,0,79
cafe-da-manha-pao-de-acucar.html,pt-BR,False,breakfast,709,Café da Manhã no Pão de Açúcar | Embaixada Carioca,"Café da manhã no Pão de Açúcar, na primeira parada do Bondinho. Vista para o Rio, pães, frutas, café e experiência carioca no Morro da Urca.",Café da Manhã com Vista no Rio de Janeiro,https://www.embaixadacarioca.com/cafe-da-manha-pao-de-acucar.html,"AggregateRating,BreadcrumbList,GeoCoordinates,ListItem,LocationFeatureSpecification,OpeningHoursSpecification,PostalAddress,ReserveAction,Restaurant,WebPage,WebSite",True,False,True,True,True,0,,0,72.8,52,92
cafe-da-manha.html,pt-BR,False,breakfast,1701,Café da Manhã com Vista no Rio | Pão de Açúcar,"Café da manhã com vista no Rio, no Morro da Urca dentro do Parque Bondinho Pão de Açúcar. Aberto todos os dias a partir de 8h30.",Café da manhã com vista para o Pão de Açúcar — Morro da Urca.,https://www.embaixadacarioca.com/cafe-da-manha.html,"AggregateRating,Answer,BreadcrumbList,FAQPage,FoodEvent,GeoCoordinates,ListItem,LocationFeatureSpecification,OpeningHoursSpecification,Place,PostalAddress,Question,ReserveAction,Restaurant,Schedule,SpeakableSpecification,WebPage,WebSite",True,True,True,True,True,0,,0,205.5,77,100
caipirinha-com-vista-rio.html,pt-BR,False,guide,619,Onde Tomar Caipirinha no Rio com Vista | Embaixada Carioca,A melhor caipirinha do Rio de Janeiro com vista para o Pão de Açúcar. Cachaça Magnífica premiada e frutas frescas no Morro da Urca.,Onde Tomar Caipirinha no Rio de Janeiro,https://www.embaixadacarioca.com/caipirinha-com-vista-rio.html,"AggregateRating,BarOrPub,BreadcrumbList,GeoCoordinates,ListItem,LocalBusiness,LocationFeatureSpecification,OpeningHoursSpecification,PostalAddress,ReserveAction,Restaurant,WebPage,WebSite",True,False,True,True,True,0,,0,71.1,52,84
cardapio.html,pt-BR,False,menu,1219,Cardápio Embaixada Carioca | Restaurante no Pão de Açúcar,"Cardápio da Embaixada Carioca: café da manhã, almoço brasileiro, feijoada, picanha, caipirinhas e chope no Morro da Urca.","Cardápio completo — Embaixada Carioca, Morro da Urca.",https://www.embaixadacarioca.com/cardapio.html,"AggregateRating,BreadcrumbList,GeoCoordinates,ListItem,LocationFeatureSpecification,Menu,MenuItem,MenuSection,Offer,OpeningHoursSpecification,PostalAddress,ReserveAction,Restaurant,SpeakableSpecification,WebPage,WebSite",True,False,True,True,True,0,,0,185.7,100,100
como-chegar.html,pt-BR,False,access,896,Como Chegar ao Pão de Açúcar e Morro da Urca | Embaixada Carioca,"Como chegar à Embaixada Carioca no Morro da Urca: Bondinho, ingresso, trilha, metrô, ônibus, Uber, carro, estacionamento e bicicleta.",Como chegar à Embaixada Carioca no Morro da Urca,https://www.embaixadacarioca.com/como-chegar.html,"Answer,FAQPage,PostalAddress,Question,Restaurant,WebPage",True,True,False,True,True,0,,0,29.3,0,87
contato.html,pt-BR,False,generic,550,Contato | Embaixada Carioca — Restaurante Morro da Urca,"Contato, reservas e eventos da Embaixada Carioca no Morro da Urca, dentro do Parque Bondinho Pão de Açúcar.","Contato, reservas e eventos no Morro da Urca",https://www.embaixadacarioca.com/contato.html,"AggregateRating,BreadcrumbList,GeoCoordinates,ListItem,LocalBusiness,LocationFeatureSpecification,OpeningHoursSpecification,PostalAddress,ReserveAction,Restaurant,WebPage,WebSite",True,False,True,True,True,0,,0,34.7,0,84
